鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區民權東路六段210巷21弄1~30號,6.84,商,,,1090312,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0940609,41.83,1,2,1,有,有,8300000,198422,,0.0,0,,RPTOMLTLMHPFFCA88CA
中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段61~90號,12.31,住,,,1090222,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,123.47,0,0,0,無,有,27400000,252629,坡道平面,26.49,2900000,,RPQNMLKMMHPFFCA67CA
中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段61~90號,8.93,住,,,1090120,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,89.59,0,0,0,無,有,21500000,243572,坡道機械,8.3,1700000,,RPSNMLKMMHPFFCA87CA
中山區,土地,榮星段五小段91~120地號,33.04,其他,,,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1344067,40680,,0.0,0,包含公共設施保留地之交易。;包含公共設施保留地之交易。,RPVNMLPJNHPFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,15.02,住,,,1090408,土地2建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,133.66000000000003,3,2,1,有,有,26880000,253922,坡道平面,38.04,2600000,,RPOOMLLKNHPFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,17.26,其他,,,1090321,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,242.01000000000002,0,0,0,無,有,56000000,253393,坡道平面,29.1,2050000,1.毛胚屋,RPRPMLMKNHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,20.57,其他,,,1090324,土地1建物1車位2,二十層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,308.54999999999995,0,0,0,無,有,68300000,256441,坡道平面,58.2,4100000,1.毛胚屋。,RPSPMLMKNHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段331~360號,80.54,住,,,1090307,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050107,159.0,2,2,1,有,有,21560000,135597,坡道平面,33.15,0,,RPVQMLNKNHPFFCA68CA
南港區,房地(土地+建物),臺北市南港區東新街80巷10弄1~30號,33.59,住,,,1090307,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0730901,140.35,3,2,2,有,有,19000000,135376,,0.0,0,含增建或未登記建物。;,RPRNMLMLMHPFFDA97CA
松山區,房地(土地+建物)+車位,臺北市松山區八德路四段841~870號,15.09,商,,,1090314,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880702,131.26999999999998,3,2,2,有,有,27080000,206292,升降機械,10.18,0,含增建或未登記建物。;,RPSOMLMLMHPFFDA18CA
信義區,房地(土地+建物),臺北市信義區虎林街56巷1~30號,40.25,住,,,1090324,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620112,81.87,2,2,2,有,無,25000000,305362,,0.0,0,含增建或未登記建物。;,RPPPMLMLMHPFFDA97CA
南港區,房地(土地+建物),臺北市南港區忠孝東路六段278巷35弄1~30號,33.0,住,,,1090331,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,55.11,3,0,2,有,無,10000000,181455,,0.0,0,含增建或未登記建物。;,RPQPMLMLMHPFFDA08CA
