鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
中和區,房地(土地+建物),新北市中和區復興路241~270號,10.35,其他,,,1090308,土地1建物1車位0,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870216.0,110.94,4,2,2,有,有,12700000,114476.0,,0.0,0,,RPQOMLRLMHPFFHF76CA,新北市
中和區,房地(土地+建物),新北市中和區成功路121~150號,2.58,住,,,1090323,土地1建物1車位0,六層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,860322.0,43.18,1,1,1,有,有,5700000,132006.0,,0.0,0,,RPQQMLOJNHPFFHF56CA,新北市
三峽區,房地(土地+建物),新北市三峽區大智路1~30號,13.95,住,,,1090225,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950123.0,92.03,2,1,1,有,有,7000000,76062.0,,0.0,0,含增建或未登記建物。;,RPROMLNLMHPFFIF56CA,新北市
樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段421~450號,17.41,住,,,1090226,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950425.0,134.98000000000002,3,2,2,有,有,9860000,73048.0,坡道平面,29.84,0,,RPWOMLLJOHPFFIF86CA,新北市
淡水區,房地(土地+建物),新北市淡水區水源街二段177巷31~60號,12.8,住,,,1090315,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851202.0,71.17,2,2,1,有,有,3900000,54798.0,,0.0,0,含增建或未登記建物。,RPSNMLPLMHPFFEF09DA,新北市
三重區,房地(土地+建物),新北市三重區中正南路8巷1~30號,5.98,商,,,1090321,土地4建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020122.0,53.71,2,2,1,有,有,8800000,163843.0,,0.0,0,含增建或未登記建物。,RPUTMLNLMHPFFGF27DA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段241~270號,22.42,住,,,1090308,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020.0,171.8,3,2,2,有,有,10580000,61583.0,坡道平面,29.19,0,,RPRPMLOJNHPFFEF09EA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路16巷1~30號,16.08,住,,,1090411,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821224.0,152.52,3,2,2,有,無,8250000,54091.0,坡道平面,37.5,0,,RPVNMLPLNHPFFEF96EA,新北市
板橋區,房地(土地+建物),新北市板橋區文聖街181~210號,0.18,住,,,1090413,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800629.0,1.92,4,2,2,有,有,199300,103802.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLRLMHPFFAF66EA,新北市
三重區,房地(土地+建物)+車位,新北市三重區集賢路31~60號,15.82,住,,,1090311,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960628.0,127.27,2,1,1,有,有,12200000,109540.0,坡道平面,33.24,1900000,,RPTQMLKMMHPFFGF66DA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路216巷31~60號,27.82,住,,,1090319,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960601.0,154.31,3,2,2,有,有,7780000,54688.0,坡道平面,33.99,1200000,含增建或未登記建物。,RPQNMLNJNHPFFEF58DA,新北市
汐止區,房地(土地+建物),新北市汐止區汐萬路一段181~210號,17.8,住,,,1090324,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040605.0,108.35,2,2,1,有,有,8700000,80295.0,,0.0,0,,RPPQMLPJNHPFFDF88DA,新北市
土城區,房地(土地+建物),新北市土城區中州路30巷1~30號,21.95,住,,,1090122,土地5建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503.0,138.88,3,2,2,有,有,10600000,76325.0,,0.0,0,含增建或未登記建物。權利人共計二人。,RPURMLSLMHPFFAF96DA,新北市
