鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
燕巢區,土地,北角宿段721~750地號,165.9,,工業區,丁種建築用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3005543,18117,,0.0,0,含增建或未登記建物。;受債權債務影響或債務抵償之交易。;,RPSOMLRJNHPFFFE56CA
岡山區,房地(土地+建物),高雄市岡山區前峰路107巷10弄1~30號,50.0,住,,,1090101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600508,76.0,3,2,1,有,無,2700000,35526,,0.0,0,,RPPPMLQJNHPFFFE88CA
燕巢區,土地,安招段571~600地號,1095.41,住,,,1090113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,18258,,0.0,0,,RPXNMLKMMHPFFFE09CA
橋頭區,房地(土地+建物),高雄市橋頭區仕豐南路123巷1~30號,122.0,住,,,1090322,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071107,221.02,5,2,4,有,無,16000000,72392,,0.0,0,,RPTNMLKMMHPFFFE68CA
左營區,房地(土地+建物)+車位,高雄市左營區富民路31~60號,15.55,住,,,1090307,土地1建物1車位1,二十層,二十層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090120,136.39,0,0,0,無,有,13450000,117854,坡道平面,36.69,1700000,,RPXOMLRLNHPFFEE17CA
楠梓區,房地(土地+建物),高雄市楠梓區右昌忠義七巷1~30號,68.0,住,,,1090402,土地2建物1車位0,全,二層,透天厝,,加強磚造,0620216,58.81,3,2,2,有,無,4000000,68016,,0.0,0,含增建或未登記建物。;,RPPOMLLLNHPFFEE38CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路271~300號,13.23,住,,,1090405,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950505,124.39,3,2,2,有,有,8000000,64314,坡道機械,0.0,0,,RPUPMLLLNHPFFEE98CA
左營區,房地(土地+建物)+車位,高雄市左營區富民路31~60號,18.79,住,,,1090207,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090120,166.44,0,0,0,無,有,15300000,106627,坡道平面,39.83,1800000,,RPXNMLPLNHPFFEE86CA
左營區,房地(土地+建物)+車位,高雄市左營區富民路31~60號,15.79,住,,,1090320,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090120,127.81,0,0,0,無,有,10300000,97749,坡道平面,39.83,1700000,,RPPOMLPLNHPFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區富民路31~60號,15.22,住,,,1090306,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090120,124.65,0,0,0,無,有,10400000,100045,坡道平面,36.69,1600000,,RPSOMLPLNHPFFEE09CA
