鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段151~180號,13.54,住,,,1090316,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,830917.0,117.48,3,2,2,有,有,5100000,43412.0,坡道機械,0.0,0,,RPVNMLRJNHPFFIB76CA,臺中市
大里區,房地(土地+建物),臺中市大里區塗城路121~150號,139.99,,鄉村區,乙種建築用地,1090229,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,670120.0,114.24,5,3,2,有,無,8200000,71779.0,,0.0,0,含增建或未登記建物。;,RPXPMLPJNHPFFIB96CA,臺中市
大里區,房地(土地+建物),臺中市大里區文隆街1~30號,15.66,住,,,1090314,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810906.0,95.05,3,2,2,有,有,4500000,47344.0,,0.0,0,,RPUOMLSJNHPFFIB86CA,臺中市
大里區,房地(土地+建物),臺中市大里區益民路二段328巷1~30號,81.0,住,,,1090319,土地2建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,750920.0,91.21,4,2,3,有,無,10000000,109637.0,,0.0,0,,RPTOMLMKNHPFFIB88CA,臺中市
大里區,房地(土地+建物),臺中市大里區六桂二路1~30號,83.88,住,,,1090214,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,700915.0,193.59,4,2,4,有,無,10500000,54238.0,,0.0,0,,RPSPMLMKNHPFFIB88CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區樹王路241~270號,22.7,,鄉村區,乙種建築用地,1090319,土地2建物1車位2,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070214.0,147.62,2,1,1,有,有,7660000,65095.0,坡道平面,72.96,2800000,,RPWPMLMKNHPFFIB66CA,臺中市
烏日區,房地(土地+建物)+車位,臺中市烏日區健行南路1~30號,22.86,住,,,1090326,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021017.0,125.66,2,2,2,有,有,6380000,50772.0,坡道平面,28.3,0,,RPUNMLLLNHPFFIB88CA,臺中市
太平區,房地(土地+建物),臺中市太平區大興十一街125巷50弄1~30號,117.41,,鄉村區,乙種建築用地,1090317,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,671224.0,96.31,4,2,2,有,無,6222000,64604.0,,0.0,0,,RPTNMLNLMHPFFJB98CA,臺中市
太平區,房地(土地+建物)+車位,臺中市太平區太興路1~30號,14.62,商,,,1090318,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030626.0,175.68,4,2,2,有,有,11700000,66598.0,坡道機械,23.14,0,,RPUNMLNLMHPFFJB09CA,臺中市
大里區,房地(土地+建物),臺中市大里區仁化路631~660號,70.7,住,,,1010902,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,621130.0,111.13,4,2,2,有,無,8100000,72888.0,,0.0,0,,RPXNMLRJNHPFFIB96CA,臺中市
